Directories,Filename,Corrupt,Size,Multipart,Outof,MultipartFilename,Types,FileDay,FileMonth,FileYear,FileFullDate,Currency
albaraka2006,02-february2006ctd_part90.pdf,no,372143,90,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part91.pdf,no,753854,91,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part92.pdf,no,124520,92,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part93.pdf,no,34501,93,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part94.pdf,no,222351,94,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part95.pdf,no,58012,95,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part96.pdf,no,726212,96,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part97.pdf,no,114722,97,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part98.pdf,no,142518,98,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part99.pdf,no,116643,99,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part100.pdf,no,146820,100,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part101.pdf,no,225015,101,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part102.pdf,no,165892,102,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part103.pdf,no,655244,103,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part104.pdf,no,732141,104,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part105.pdf,no,214357,105,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part106.pdf,no,50013,106,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
